job_description,sentiment,transformed_text
"Business Analyst (Remote) CareFirst BlueCross BlueShield Baltimore, MD Unknown",negative,busi analyst remot carefirst bluecross blueshield baltimor md unknown
"Sr. Data Analyst Rivian Normal, IL Unknown",negative,data analyst rivian normal il unknown
RESEARCH DATA ANALYST II Department of Transportation United States Unknown,negative,research data analyst ii depart transport unit state unknown
"Junior Operations Analyst 1A Auto Parts Olathe, KS Junior",neutral,junior oper analyst 1a auto part olath ks junior
"Enterprise Data Management, Junior Analyst First Horizon Bank Knoxville, TN Junior",neutral,enterpris data manag junior analyst first horizon bank knoxvil tn junior
"Healthcare Data Analyst KLS Group Boston, MA Unknown",negative,healthcar data analyst kl group boston unknown
"Data Analyst (National Geographic) Disney Washington, DC Unknown",negative,data analyst nation geograph disney washington dc unknown
"Jr. PMO Analyst (Data Entry) CGI Group, Inc. Fairfax, VA Unknown",negative,pmo analyst data entri cgi group fairfax va unknown
"Program Analyst U.S. Department of State Washington, DC Unknown",negative,program analyst depart state washington dc unknown
"Global Health Data Analyst University of Minnesota Minneapolis, MN Unknown",negative,global health data analyst univers minnesota minneapoli mn unknown
"Data Analyst - Early Career Lockheed Martin Fort Worth, TX Unknown",neutral,data analyst earli career lockhe martin fort worth tx unknown
"Business Systems Analyst- Data Reporting Raymond James Financial Pittsburgh, PA Unknown",negative,busi system data report raymond jame financi pittsburgh pa unknown
"Workforce Planning Analyst Lockheed Martin Corporation Littleton, CO Unknown",negative,workforc plan analyst lockhe martin corpor littleton co unknown
"Data Governance Analyst - I Freedom Mortgage Camden, NJ Unknown",neutral,data govern analyst freedom mortgag camden nj unknown
"Healthcare Data Analyst I - Quality Systems(hybrid) Inland Empire Health Plan Rancho Cucamonga, CA Unknown",negative,healthcar data analyst qualiti system hybrid inland empir health plan rancho cucamonga ca unknown
"Fraud Analyst Customers Bank Malvern, PA Unknown",negative,fraud analyst custom bank malvern pa unknown
"Data Collection Analyst Alphamatician Boston, MA Unknown",negative,data collect analyst alphamatician boston unknown
"Academic Coordinator/Data Analyst University of Kentucky Lexington, KY Unknown",negative,academ analyst univers kentucki lexington ky unknown
"Junior Analyst ManTech International Corporation Washington, DC Junior",neutral,junior analyst mantech intern corpor washington dc junior
"Data Systems Analyst, Analytics Yale University New Haven, CT Unknown",negative,data system analyst analyt yale univers new ct unknown
"Senior Data Analyst CVS Health Hartford, CT Senior",neutral,senior data analyst cv health hartford ct senior
"Analyst, Receipt Management (Allocation/Analytics) Ross Stores Dublin, CA Unknown",negative,analyst receipt manag ross store dublin ca unknown
"Data Process Analyst PeopleTec, Inc. El Paso, TX Unknown",negative,data process analyst peopletec el paso tx unknown
"Data Standards Analyst II Fred Hutchinson Cancer Center Seattle, WA Unknown",negative,data standard analyst ii fred hutchinson cancer center seattl wa unknown
"PMO Data Analyst Altumint Lanham, MD Unknown",negative,pmo data analyst altumint lanham md unknown
"Data Analyst II (Remote - Health Services Research) The Henry M. Jackson Foundation for the Advancement of Military Medicine Bethesda, MD Unknown",negative,data analyst ii remot health servic research henri jackson foundat advanc militari medicin bethesda md unknown
"VU PMO Program Analyst Visa Atlanta, GA Unknown",negative,vu pmo program analyst visa atlanta ga unknown
"Data Analyst Twin Cities Public Television Saint Paul, MN Unknown",neutral,data analyst twin citi public televis saint paul mn unknown
"Sr Supply planning Analyst NEXTracker Fremont, CA Unknown",negative,sr suppli plan analyst nextrack fremont ca unknown
"Business Analyst Brock & Scott PLLC Winston-Salem, NC Unknown",negative,busi analyst brock scott pllc nc unknown
"Business Analytics Lead Analyst (Actuarial Data Strategy & Solutions - Repricing) The Cigna Group Raleigh, NC Unknown",neutral,busi analyt lead analyst actuari data strategi solut repric cigna group raleigh nc unknown
"Data Call Support Analyst Savvee Consulting, Inc. Silver Spring, MD Unknown",neutral,data call support analyst savve consult silver spring md unknown
Population Health Senior Data Analyst MCHC Health Centers California Senior,neutral,popul health senior data analyst mchc health center california senior
"Clinical Research Data Analyst - Hybrid/Remote University of Miami Coral Gables, FL Unknown",negative,clinic research data analyst univers miami coral gabl fl unknown
RESEARCH DATA ANALYST II Public Employees Retirement System United States Unknown,negative,research data analyst ii public employe retir system unit state unknown
"IT Business Analyst I/III Arbella Insurance Group Quincy, MA Unknown",negative,busi analyst arbella insur group quinci unknown
"Senior Research Data Support Analyst Yale University New Haven, CT Senior",positive,senior research data support analyst yale univers new ct senior
"Senior Data Analyst, Market Analytics (Remote) Stryker Michigan Senior",neutral,senior data analyst market analyt remot stryker michigan senior
"Senior Research Analyst, People Analytics Amazon.com Services LLC Nashville, TN Senior",neutral,senior research analyst peopl analyt servic llc nashvil tn senior
"Data Analytics, Senior Specialist Edison International Rosemead, CA Senior",neutral,data analyt senior specialist edison intern rosemead ca senior
"IT Business Data Analyst State of South Carolina Columbia, SC Unknown",negative,busi data analyst state south carolina columbia sc unknown
"Sr. Business Analyst - Data Program RiverSource Minneapolis, MN Unknown",negative,busi analyst data program riversourc minneapoli mn unknown
"Research Data Analyst 1 Oregon Health & Science University Portland, OR Unknown",negative,research data analyst 1 oregon health scienc univers portland unknown
"Health Care Data Analyst (Full-Time) University Health San Antonio, TX Unknown",negative,health care data analyst univers health san antonio tx unknown
"Operations Program Specialist - Data Analytics / Performance BAE Systems Wayne, NJ Unknown",negative,oper program specialist data analyt perform bae system wayn nj unknown
"Data Analyst OxBlue Corporation Atlanta, GA Unknown",negative,data analyst oxblu corpor atlanta ga unknown
"Supply Chain Optimization Analyst MSI Express Inc Saint Charles, IL Unknown",neutral,suppli chain optim analyst msi express inc saint charl il unknown
"Specialist, Reporting and Business Analysis Delta Airlines Atlanta, GA Unknown",negative,specialist report busi analysi delta airlin atlanta ga unknown
"Data Analyst Voyig Great Falls, MT Unknown",negative,data analyst voyig great fall mt unknown
"Sr Analyst, Social Media Analytics Royal Caribbean Group United States Unknown",negative,sr analyst social media analyt royal caribbean group unit state unknown
"Data Analyst Primerica Duluth, GA Unknown",negative,data analyst primerica duluth ga unknown
"Data Analyst The Orthopaedic Institute Herrin, IL Unknown",negative,data analyst orthopaed institut herrin il unknown
"RESEARCH DATA ANALYST II Covered California Sacramento, CA Unknown",negative,research data analyst ii cover california sacramento ca unknown
Jr. Associate Business Analyst UST United States Unknown,negative,associ busi analyst ust unit state unknown
"Data Analyst Financial Information Technologies LLC Tampa, FL Unknown",negative,data analyst financi inform technolog llc tampa fl unknown
"Data Analyst - Direct to consumer (DTC) Mattel Jonestown, PA Unknown",negative,data analyst direct consum dtc mattel jonestown pa unknown
"Claims Data Analyst AmericanAg™ Schaumburg, IL Unknown",negative,claim data analyst schaumburg il unknown
Sr. Fraud Data Analyst RELX Maryland Unknown,negative,fraud data analyst relx maryland unknown
"Data and Policy Analyst - Writer/Coordinator Acumen, LLC Los Angeles, CA Unknown",neutral,data polici analyst acumen llc lo angel ca unknown
"Public Health Data Analyst Carson City, NV Carson City, NV Unknown",negative,public health data analyst carson citi nv carson citi nv unknown
"Privacy Analyst HEB San Antonio, TX Unknown",negative,privaci analyst heb san antonio tx unknown
"Clinical Data Analyst II HCA Healthcare Nashville, TN Unknown",negative,clinic data analyst ii hca healthcar nashvil tn unknown
"Data Analyst ClearBalance HealthCare Dallas, TX Unknown",negative,data analyst clearbal healthcar dalla tx unknown
"Trainee - Business Analyst LeewayHertz San Francisco, CA Unknown",negative,traine busi analyst leewayhertz san francisco ca unknown
"Business Analyst Marymount University Arlington, VA Unknown",negative,busi analyst marymount univers arlington va unknown
"Data Analyst United One Solutions Newark, CA Unknown",negative,data analyst unit one solut newark ca unknown
"Junior Marketing Analyst DUOPEAK Menlo Park, CA Junior",neutral,junior market analyst duopeak menlo park ca junior
"Finance Master Data Analyst Nike Beaverton, OR Unknown",neutral,financ master data analyst nike beaverton unknown
Data Analytics Specialists AccelPad United States Unknown,negative,data analyt specialist accelpad unit state unknown
"Business Data Analyst II Liberty University Lynchburg, VA Unknown",neutral,busi data analyst ii liberti univers lynchburg va unknown
"Entry Level Process Improvement Analyst KEYENCE Itasca, IL Unknown",neutral,entri level process improv analyst keyenc itasca il unknown
"Business Analyst Level 1-4 Metropolitan Transportation Authority New York, NY Unknown",negative,busi analyst level metropolitan transport author new york ny unknown
Business/Data Analyst Unisys Pennsylvania Unknown,negative,analyst unisi pennsylvania unknown
Human Services Analyst Commonwealth of PA United States Unknown,negative,human servic analyst commonwealth pa unit state unknown
"Enterprise Analyst ABNB Federal Credit Union Chesapeake, VA Unknown",negative,enterpris analyst abnb feder credit union chesapeak va unknown
"Business Data Analyst Underwriters Laboratories Inc. Vancouver, WA Unknown",negative,busi data analyst underwrit laboratori vancouv wa unknown
"Energy Billing Analyst Budderfly Shelton, CT Unknown",negative,energi bill analyst budderfli shelton ct unknown
"Data Analyst Delta Solutions & Strategies Huntsville, AL Unknown",negative,data analyst delta solut strategi huntsvil al unknown
"Temporary - Analytics Data Analyst IEEE Corporate Piscataway, NJ Unknown",negative,temporari analyt data analyst ieee corpor piscataway nj unknown
"IT Business Analyst United Rentals, Inc. Portland, OR Unknown",negative,busi analyst unit rental portland unknown
Sales Data Analyst C. Mondavi & Family United States Unknown,negative,sale data analyst mondavi famili unit state unknown
Workforce Planning Data Analyst YRCI United States Unknown,negative,workforc plan data analyst yrci unit state unknown
"GEOSPATIAL DATA ANALYST Norfolk Southern Corp Atlanta, GA Unknown",negative,geospati data analyst norfolk southern corp atlanta ga unknown
Business Analyst I Technology Ventures Virginia Unknown,negative,busi analyst technolog ventur virginia unknown
"Performance Analyst II City of Bakersfield, CA Bakersfield, CA Unknown",negative,perform analyst ii citi bakersfield ca bakersfield ca unknown
"Data Analytics Analyst II Mary Kay Inc Dallas, TX Unknown",negative,data analyt analyst ii mari kay inc dalla tx unknown
"Business Analyst Coral Graphic Services, Inc. Hicksville, NY Unknown",negative,busi analyst coral graphic servic hicksvil ny unknown
"Transportation Data Analyst - REMOTE Monster Energy Atlanta, GA Unknown",negative,transport data analyst remot monster energi atlanta ga unknown
"Machine Learning Data Analyst, Amazon Amazon.com Services LLC Seattle, WA Unknown",negative,machin learn data analyst amazon servic llc seattl wa unknown
"Business Analyst - Digital Experience Allina Health System Minneapolis, MN Unknown",negative,busi analyst digit experi allina health system minneapoli mn unknown
"Business Analyst Daimler Truck North America Fort Mill, SC Unknown",negative,busi analyst daimler truck north america fort mill sc unknown
"Data Analyst USI Holdings Corporation West Chester, PA Unknown",negative,data analyst usi hold corpor west chester pa unknown
"Data Analyst University Physicians' Association, Inc. Knoxville, TN Unknown",negative,data analyst univers physician associ knoxvil tn unknown
"Data Governance Analyst, Finance Data Voya Financial Remote Unknown",negative,data govern analyst financ data voya financi remot unknown
"Analyst, FP&A Business Operations Tesla Sparks, NV Unknown",negative,analyst fp busi oper tesla spark nv unknown
"Business Analyst Texas Department of Transportation Austin, TX Unknown",negative,busi analyst texa depart transport austin tx unknown
"Intelligence Analyst ViaPath Technologies Mechanicsburg, PA Unknown",neutral,intellig analyst viapath technolog mechanicsburg pa unknown
"Business Analyst The Connor Group Dayton, OH Unknown",negative,busi analyst connor group dayton oh unknown
Healthcare Data Analyst Certilytics Kentucky Unknown,negative,healthcar data analyst certilyt kentucki unknown
"Healthcare Data Analyst CenCal Health Santa Barbara, CA Unknown",negative,healthcar data analyst cencal health santa barbara ca unknown
"HR Data Analyst Saint Gobain Malvern, PA Unknown",neutral,hr data analyst saint gobain malvern pa unknown
"Data and Communication Analyst Xcelerate Solutions Clarksburg, WV Unknown",negative,data commun analyst xceler solut clarksburg wv unknown
Business Analyst KeyLogic Systems United States Unknown,negative,busi analyst keylog system unit state unknown
Business Intelligence Data Analyst West Gate Bank United States Unknown,neutral,busi intellig data analyst west gate bank unit state unknown
DATA REPORTING ANALYST NYC Careers Manhattan Unknown,negative,data report analyst nyc career manhattan unknown
"Data Analyst Tru Fit Athletic Club San Antonio, TX Unknown",negative,data analyst tru fit athlet club san antonio tx unknown
"Data Analyst, Performance Improvement Shriners Children's Philadelphia, PA Unknown",neutral,data analyst perform improv shriner children philadelphia pa unknown
"Data and Insights Analyst - Multifamily Frontier Communications Dallas, TX Unknown",negative,data insight analyst multifamili frontier commun dalla tx unknown
"Geospatial Analyst ReServe New York, NY Unknown",negative,geospati analyst reserv new york ny unknown
"Associate Business Analyst Marriott International, Inc Bethesda, MD Unknown",negative,associ busi analyst marriott intern inc bethesda md unknown
"Customer Master Data Analyst Dole Packaged Foods Westlake Village, Los Angeles, CA Unknown",neutral,custom master data analyst dole packag food westlak villag lo angel ca unknown
"Master Data Analyst WEG Electric Corp Duluth, GA Unknown",neutral,master data analyst weg electr corp duluth ga unknown
"Data Policy Analyst Logistics Management Institute Arlington, VA Unknown",negative,data polici analyst logist manag institut arlington va unknown
"IT Business Analyst - Data (Remote or Morristown, NJ) Crum & Forster Morristown, NJ Unknown",negative,busi analyst data remot morristown nj crum forster morristown nj unknown
"Data Analyst, Category Management & Demand Planning MaryRuth's Remote Unknown",negative,data analyst categori manag demand plan maryruth remot unknown
"Financial Strategy and Planning Analyst DocGo New York, NY Unknown",negative,financi strategi plan analyst docgo new york ny unknown
"Associate Data Analytics Analyst Canon Solutions America, Inc. Burlington, NJ Unknown",negative,associ data analyt analyst canon solut america burlington nj unknown
"Data Analyst RPM Living Austin, TX Unknown",negative,data analyst rpm live austin tx unknown
"Senior Clinical Data Analyst Dana-Farber Cancer Institute Boston, MA Senior",negative,senior clinic data analyst cancer institut boston senior
Remote Work - Need Jr Data Analyst Steneral Consulting United States Unknown,neutral,remot work need jr data analyst stener consult unit state unknown
"Registry Data Abstractor Analyst Kaleida Health Buffalo, NY Unknown",negative,registri data abstractor analyst kaleida health buffalo ny unknown
"Data Analyst Nye Lubricants Co. Fairhaven, MA Unknown",negative,data analyst nye lubric fairhaven unknown
"Senior BI Data Analyst LERETA, LLC Pomona, CA Senior",neutral,senior bi data analyst lereta llc pomona ca senior
"FinTech Product Analyst - Data and Reporting - Solutran - Remote Optum Eden Prairie, MN Unknown",negative,fintech product analyst data report solutran remot optum eden prairi mn unknown
Data Quality Analyst (Remote) Covetrus Kentucky Unknown,negative,data qualiti analyst remot covetru kentucki unknown
"Data Analytics Analyst I, II or Senior Southern Company Atlanta, GA Senior",neutral,data analyt analyst ii senior southern compani atlanta ga senior
"Data Analyst Yakshna Solutions Herndon, VA Unknown",negative,data analyst yakshna solut herndon va unknown
"Data Analyst Softthink Solutions Herndon, VA Unknown",negative,data analyst softthink solut herndon va unknown
"Sr. Analyst - Online Business Analytics Home Depot / THD Atlanta, GA Unknown",negative,analyst onlin busi analyt home depot thd atlanta ga unknown
"HR Systems & People Data Analyst Anaplan Washington, DC Unknown",negative,hr system peopl data analyst anaplan washington dc unknown
"Treasury Operations Analyst Commercial Metals Company Irving, TX Unknown",negative,treasuri oper analyst commerci metal compani irv tx unknown
"Senior Clinical Data Analyst Tarrant County College Fort Worth, TX Senior",positive,senior clinic data analyst tarrant counti colleg fort worth tx senior
Game Data Analyst Crazy Labs Remote Unknown,negative,game data analyst crazi lab remot unknown
"Business Data Analyst II Miracorp Inc Lakewood, CO Unknown",negative,busi data analyst ii miracorp inc lakewood co unknown
"Data Analyst Lucid Technologies Inc Des Moines, IA Unknown",neutral,data analyst lucid technolog inc de moin ia unknown
"OR Data Analyst AHMC Healthcare Riverside, CA Unknown",negative,data analyst ahmc healthcar riversid ca unknown
Economic Data and Research Analyst Camoin Associates Remote Unknown,negative,econom data research analyst camoin associ remot unknown
"Data Analyst - Enterprise Technology Services Berklee College of Music Boston, MA Unknown",negative,data analyst enterpris technolog servic berkle colleg music boston unknown
"Process Optimization & Business Analyst (New College Grad) GLOBALFOUNDRIES Austin, TX Unknown",negative,process optim busi analyst new colleg grad globalfoundri austin tx unknown
"Transportation Operations Analyst Ingram Micro Williamsville, NY Unknown",negative,transport oper analyst ingram micro williamsvil ny unknown
"Business Intelligence Analyst Bellevue College Bellevue, WA Unknown",neutral,busi intellig analyst bellevu colleg bellevu wa unknown
"Sr. Data Analyst accelerate360 New York, NY Unknown",negative,data analyst accelerate360 new york ny unknown
Associate Implementation Business Analyst iController Remote Unknown,negative,associ implement busi analyst icontrol remot unknown
"Business Analyst III TD Bank Trussville, AL Unknown",negative,busi analyst iii td bank trussvil al unknown
"Data Tracing Analyst 1 U.S. Bank National Association New York, NY Unknown",negative,data trace analyst 1 bank nation associ new york ny unknown
"Business Intelligence Analyst Breezeline Quincy, MA Unknown",neutral,busi intellig analyst breezelin quinci unknown
"Administrative Business Analyst Michigan State University East Lansing, MI Unknown",negative,administr busi analyst michigan state univers east lans mi unknown
"Data Analyst City of Albany, NY Albany, NY Unknown",negative,data analyst citi albani ny albani ny unknown
Carenostics : Healthcare Data Analyst M13 Remote Unknown,negative,carenost healthcar data analyst m13 remot unknown
"Data Visualization Analyst California State University San Jose, CA Unknown",negative,data visual analyst california state univers san jose ca unknown
"Junior Business Analyst Deloitte Portland, OR Junior",neutral,junior busi analyst deloitt portland junior
"Senior Data Analyst ReadyRefresh Stamford, CT Senior",neutral,senior data analyst readyrefresh stamford ct senior
"Healthcare Data Analyst NAVIENT Indianapolis, IN Unknown",negative,healthcar data analyst navient indianapoli unknown
"SQL Data Analyst University of Michigan Ann Arbor, MI Unknown",negative,sql data analyst univers michigan ann arbor mi unknown
"Systems QA Analyst I InComm Payments Columbus, GA Unknown",negative,system qa analyst incomm payment columbu ga unknown
"Data Analyst 1 CAE Tampa, FL Unknown",negative,data analyst 1 cae tampa fl unknown
"Analyst, Data Analytics Procure Analytics United States Unknown",negative,analyst data analyt procur analyt unit state unknown
"Business / Data Analyst Aquila Technology Lexington, MA Unknown",negative,busi data analyst aquila technolog lexington unknown
"Analyst - 2024 Start Date Compass Lexecon Washington, DC Unknown",negative,analyst 2024 start date compass lexecon washington dc unknown
"Data Analyst FedEx Services Memphis, TN Unknown",negative,data analyst fedex servic memphi tn unknown
"Data Programmer & Analyst Commonwealth of Virginia Charlottesville, VA Unknown",negative,data programm analyst commonwealth virginia charlottesvil va unknown
"Systems Operations Analyst Fisher Investments Plano, TX Unknown",negative,system oper analyst fisher invest plano tx unknown
"SENIOR DATA ANALYST University of Washington Seattle, WA Senior",neutral,senior data analyst univers washington seattl wa senior
"Data Analyst ArcSource Group Columbia, MD Unknown",negative,data analyst arcsourc group columbia md unknown
"Data Analyst Anblicks Dallas, TX Unknown",negative,data analyst anblick dalla tx unknown
"Data Analyst Cambridge College Boston, MA Unknown",negative,data analyst cambridg colleg boston unknown
"Data Analyst Oklahoma State University Stillwater, OK Unknown",negative,data analyst oklahoma state univers stillwat ok unknown
"Junior Business Analyst PSI Pax Indian Head, MD Junior",neutral,junior busi analyst psi pax indian head md junior
"Operations Data Analyst Empower Pharmacy Houston, TX Unknown",neutral,oper data analyst empow pharmaci houston tx unknown
"Data Analytics Associate Imaging Endpoints Scottsdale, AZ Unknown",negative,data analyt associ imag endpoint scottsdal az unknown
"Specialist- Data Analyst BayOne San Francisco, CA Unknown",negative,data analyst bayon san francisco ca unknown
"Customer Data Analyst Windstar Cruises Denver, CO Unknown",negative,custom data analyst windstar cruis denver co unknown
"Data Analyst, Water Industry Insights Bluefield Research Boston, MA Unknown",negative,data analyst water industri insight bluefield research boston unknown
"Business Intelligence Analyst LPGA Daytona Beach, FL Unknown",neutral,busi intellig analyst lpga daytona beach fl unknown
"Sr Data Analyst At Home Coppell, TX Unknown",negative,sr data analyst home coppel tx unknown
Business Intelligence Analyst Gilbarco Remote Unknown,neutral,busi intellig analyst gilbarco remot unknown
"Data Analyst ASCENSION DEPAUL SERVICES New Orleans, LA Unknown",negative,data analyst ascens depaul servic new orlean la unknown
"Data Analyst - Seed Operations Development Program Corteva Johnston, IA Unknown",negative,data analyst seed oper develop program corteva johnston ia unknown
"Research Analyst - Energy Analytics The Cadmus Group, Inc. Portland, OR Unknown",negative,research analyst energi analyt cadmu group portland unknown
"Business Analyst (Entry level) 365 Labs Baton Rouge, LA Unknown",negative,busi analyst entri level 365 lab baton roug la unknown
"Business Intelligence Analyst ViaOne Services Dallas, TX Unknown",neutral,busi intellig analyst viaon servic dalla tx unknown
"Systems Analyst I The University of Mississippi University, MS Unknown",negative,system analyst univers mississippi univers ms unknown
"Data Analyst Lake Trust Credit Union Brighton, MI Unknown",neutral,data analyst lake trust credit union brighton mi unknown
"Clinical Data Analyst Int UPMC Pittsburgh, PA Unknown",negative,clinic data analyst int upmc pittsburgh pa unknown
"Data Analyst & Reporting Specialist Bechtel Knoxville, TN Unknown",negative,data analyst report specialist bechtel knoxvil tn unknown
Data Analyst Peloton United States Unknown,negative,data analyst peloton unit state unknown
"Data Analyst Honda Development and Manufacturing of America, LLC. Marysville, OH Unknown",negative,data analyst honda develop manufactur america llc marysvil oh unknown
"eDiscovery Data Analyst Kellton Boston, MA Unknown",negative,ediscoveri data analyst kellton boston unknown
Data Analyst I One Inc Software Corporation California Unknown,negative,data analyst one inc softwar corpor california unknown
Spatial Data Analyst Cushman & Wakefield United States Unknown,negative,spatial data analyst cushman wakefield unit state unknown
"Data Analyst AVA Counsulting Bloomington, IL Unknown",negative,data analyst ava counsult bloomington il unknown
"Data Analyst - Intern (PT) Southland Steel Fabricators Inc Amite, LA Unknown",negative,data analyst intern pt southland steel fabric inc amit la unknown
"Data Analyst Birlasoft Alpharetta, GA Unknown",negative,data analyst birlasoft alpharetta ga unknown
"Data Analyst University of North Carolina at Chapel Hill Chapel Hill, NC Unknown",negative,data analyst univers north carolina chapel hill chapel hill nc unknown
"Data Analyst Cognosante, LLC Tennessee Unknown",negative,data analyst cognosant llc tennesse unknown
"Data Analyst II, Employment Law Boston Scientific Corporation Arden Hills, MN Unknown",negative,data analyst ii employ law boston scientif corpor arden hill mn unknown
Data Analyst ITTrail Blazers Long Island-Queens Unknown,negative,data analyst ittrail blazer long unknown
"Entry-Level Data Analyst Capital Jefferson City, MO Unknown",negative,data analyst capit jefferson citi mo unknown
"Entry Level Business Analyst Atlantictranstrading Boston, MA Unknown",negative,entri level busi analyst atlantictranstrad boston unknown
"Data Analyst Nickerson and Associates Seattle, WA Unknown",negative,data analyst nickerson associ seattl wa unknown
"Data Analyst ActionLink San Diego, CA Unknown",negative,data analyst actionlink san diego ca unknown
"Data Analyst Shipwell Austin, TX Unknown",negative,data analyst shipwel austin tx unknown
"Data Analyst Sunbelt-Solomon Solutions Temple, TX Unknown",negative,data analyst solut templ tx unknown
"Data Analyst Children’s Hospital of Philadelphia Philadelphia, PA Unknown",negative,data analyst children hospit philadelphia philadelphia pa unknown
"Data Analyst SiloSmashers Washington, DC Unknown",negative,data analyst silosmash washington dc unknown
"Data Analyst Sho-Me Power Electric Cooperative Marshfield, MO Unknown",neutral,data analyst power electr cooper marshfield mo unknown
"Data Analyst Precise Systems Washington, DC Unknown",neutral,data analyst precis system washington dc unknown
"Data Analyst Allied Benefit Systems, LLC Remote Unknown",neutral,data analyst alli benefit system llc remot unknown
Business Data Analyst Guidepoint Remote Unknown,negative,busi data analyst guidepoint remot unknown
"Data Analyst – Workplace Planning Northern Trust Corp. Chicago, IL Unknown",neutral,data analyst workplac plan northern trust chicago il unknown
"Data Analyst Blue Bird Body Company Macon, GA Unknown",negative,data analyst blue bird bodi compani macon ga unknown
"Healthcare Data Analyst (Remote) Sentara Healthcare Virginia Beach, VA Unknown",negative,healthcar data analyst remot sentara healthcar virginia beach va unknown
"Data Analyst Occidental Petroleum Corporation Houston, TX Unknown",negative,data analyst occident petroleum corpor houston tx unknown
"Data Analyst Valve and Meter Indianapolis, IN Unknown",negative,data analyst valv meter indianapoli unknown
Data Analyst Federal Bureau of Investigation United States Unknown,negative,data analyst feder bureau investig unit state unknown
"SQL Data Analyst II RareMed Solutions Coraopolis, PA Unknown",negative,sql data analyst ii rarem solut coraopoli pa unknown
"Data Analyst Universal Service Administrative Company Washington, DC Unknown",negative,data analyst univers servic administr compani washington dc unknown
"Assoc Data Analyst II Amway Inc. Ada, MI Unknown",negative,assoc data analyst ii amway ada mi unknown
"IT Business Analyst Apex Capital Corp Fort Worth, TX Unknown",neutral,busi analyst apex capit corp fort worth tx unknown
"Per Diem Data Analyst I Massachusetts General Hospital(MGH) Boston, MA Unknown",negative,per diem data analyst massachusett gener hospit mgh boston unknown
"Data Team Analyst Phillips 66 Houston, TX Unknown",negative,data team analyst phillip 66 houston tx unknown
"Data Analyst House Of Ruth Maryland Baltimore, MD Unknown",negative,data analyst hous ruth maryland baltimor md unknown
"Data Analyst, Business Strategy & Analytics Chicago Bulls Chicago, IL Unknown",negative,data analyst busi strategi analyt chicago bull chicago il unknown
Business Data Analyst Integris United States Unknown,negative,busi data analyst integri unit state unknown
"Data Standards Analyst II Fred Hutchinson Cancer Center Seattle, WA Unknown",negative,data standard analyst ii fred hutchinson cancer center seattl wa unknown
